
Fuerzas directamente en los nudos (reacciones)
  nudo          fx          fy          fz
   382 +6.8956e+00 +0.0000e+00 +0.0000e+00 
   383 +5.3298e+00 +0.0000e+00 +0.0000e+00 
   384 +3.1150e+00 +0.0000e+00 +0.0000e+00 
   385 +3.9663e+00 +0.0000e+00 +0.0000e+00 
   386 +4.2380e+00 +0.0000e+00 +0.0000e+00 
   387 +2.7975e+00 +0.0000e+00 +0.0000e+00 
   388 +2.6490e+00 +0.0000e+00 +0.0000e+00 
   389 +2.2338e+00 +0.0000e+00 +0.0000e+00 
   390 +1.7931e+00 +0.0000e+00 +0.0000e+00 
   391 +1.4136e+00 +0.0000e+00 +0.0000e+00 
   392 +1.4363e+00 +0.0000e+00 +0.0000e+00 
   393 +7.0570e-01 +0.0000e+00 +0.0000e+00 
   394 +6.7374e-02 +0.0000e+00 +0.0000e+00 
   395 -4.0767e-01 +0.0000e+00 +0.0000e+00 
   396 -9.1976e-01 +0.0000e+00 +0.0000e+00 
   397 -1.5028e+00 +0.0000e+00 +0.0000e+00 
   398 -2.0464e+00 +0.0000e+00 +0.0000e+00 
   399 -1.6486e+00 +0.0000e+00 +0.0000e+00 
   400 -1.9456e+00 +0.0000e+00 +0.0000e+00 
   401 -1.7646e+00 +0.0000e+00 +0.0000e+00 
   402 -1.0697e+00 +0.0000e+00 +0.0000e+00 
   403 -1.1369e+00 +0.0000e+00 +0.0000e+00 
   404 -1.0487e+00 +0.0000e+00 +0.0000e+00 
   405 -6.8987e-01 +0.0000e+00 +0.0000e+00 
   406 +1.5307e-01 +0.0000e+00 +0.0000e+00 
   407 +1.1355e+00 +0.0000e+00 +0.0000e+00 
   408 +2.3381e+00 +0.0000e+00 +0.0000e+00 
   409 +2.7691e+00 +0.0000e+00 +0.0000e+00 
   410 +6.1891e+00 +0.0000e+00 +0.0000e+00 
   411 +6.9092e+00 +0.0000e+00 +0.0000e+00 
   412 +1.0045e+01 +0.0000e+00 +0.0000e+00 
   413 +9.9962e+00 +0.0000e+00 +0.0000e+00 
   414 +7.2272e+00 +0.0000e+00 +0.0000e+00 
   415 +9.9348e+00 +0.0000e+00 +0.0000e+00 
   416 +9.6236e+00 +0.0000e+00 +0.0000e+00 
   417 +1.0014e+01 +0.0000e+00 +0.0000e+00 
   418 +9.1178e+00 +0.0000e+00 +0.0000e+00 
   419 +1.0250e+01 +0.0000e+00 +0.0000e+00 
   420 +1.3488e+01 +0.0000e+00 +0.0000e+00 
   421 +1.2649e+01 +0.0000e+00 +0.0000e+00 
   422 +1.1108e+01 +0.0000e+00 +0.0000e+00 
   423 +1.3875e+01 +0.0000e+00 +0.0000e+00 
   424 +9.2982e+00 +0.0000e+00 +0.0000e+00 
   425 +1.1275e+01 +0.0000e+00 +0.0000e+00 
   426 +9.5938e+00 +0.0000e+00 +0.0000e+00 
   427 +1.0005e+01 +0.0000e+00 +0.0000e+00 
